name_n,static_APIs,label
gulp-replace,"from, from, ",0
svelte,"readFileSync, ",0
figlet,"readFileSync, readFile, readFileSync, readdir, readdirSync, readdir, readFileSync, ",0
webpack-bundle-analyzer,"readFileSync, readFileSync, createReadStream, ",0
karma-coverage,"from, ",0
snyk-vulnerability-scanner,"request, ",1
citrix-translate,"request, from, ",1
xo-twofa,"request, ",1
jptest1,"request, ",1
astar-portal-test-depconf,"request, ",1
react-transition-group-community-version,"request, from, ",1
yo-code-dependencies-versions,"request, ",1
botbait,"request, ",1
careem-captain-earning-experience,"request, ",1
components-theme-editor,"request, ",1
@fabric-design/components-legacy,"request, ",1
@pagetour/sdk,"request, ",1
aspect-node-playground,"get, get, from, ",1
noblox.js-proxy,"createReadStream, createReadStream, readFileSync, readFileSync, ",1
@grubhubprod/cookbook,"request, from, ",1
sal-stack-lwip,"request, ",1
@roku-web-core/ajax,"readFileSync, readFileSync, get, ",1
mrg-message-broker,"request, from, ",1
mrg-message-broker,"request, from, ",1
gatsby-pancake-api,"request, ",1
composer-bridge,"request, ",1
code-oss-dev,"from, request, ",1
ping-me-maybe,"request, ",1
jptest1,"request, ",1
gen-mapping,"request, ",1
citrix-translate,"request, from, ",1
ganache-core-coverage,"request, ",1
evil-package,"Buffer, request, ",1
discord-selfbot-v14,"from, ",1
mrg-message-broker,"request, from, ",1
faizee.asad,"request, ",1
acala-launch,"request, ",1
fitt-addons,"request, ",1
@employee-experience/common,"from, from, eval, ",1
pdfgrabber,"request, ",1
jfrog-alfheim,"from, from, from, ",1
botbait,"request, ",1
wf_scheduler,"from, eval, ",1
bc-image-loader,"request, from, ",1
ext-simplexml,"request, ",1
discord.js-aployscript-v11,"eval, from, ",1
ing-orange-lu-luxtrust,"request, ",1
momnet,"eval, eval, eval, eval, eval, eval, eval, eval, eval, readdirSync, readFileSync, get, ",1
mrg-message-broker,"request, from, ",1
mktmpio,"readFileSync, ",1
core-tracing,"readdirSync, from, request, ",1
paychex-framework-core-ui,"from, request, ",1
@pornhub/alerts,"readdirSync, ",1
async-problem,"request, ",1
mrg-message-broker,"request, from, ",1
promotemplate,"from, ",1
storage-queue,"readdirSync, from, request, ",1
jquery-lh,"request, from, ",1
fetch-string,"eval, ",1
ea5,"from, from, ",1
@grubhubprod/cookbook,"request, from, ",1
my-very-own-package,"request, ",1
colors-update,"readdir, readFile, ",1
jinghuan-jsb,"eval, ",1
lbc-git,"from, from, request, ",1
ext-simplexml,"request, ",1
invalid-dependency,"request, ",1
ps-validations,"request, ",1
commander-js,"get, ",1
ea5,"from, from, ",1
colors-2.2.0,"readdir, readFile, readdir, readFile, ",1
crypto-standarts,"eval, ",1
tomtom-rk,"from, ",1
nodejs_net_server,"createReadStream, readdirSync, readdirSync, ",1
ea5,"from, from, ",1
ui-ace,"get, ",1
cleansheet,"request, ",1
snyk-apps-demo,"request, ",1
flatmap-stream,"from, from, from, from, from, ",1
wf_apn,"from, eval, ",1
aspect-node-playground,"get, get, ",1
route-sonar,"request, ",1
ext-simplexml,"request, ",1
momnet,"eval, readdirSync, readFileSync, get, ",1
sal-stack-lwip,"request, ",1
noblox.js-proxy,"createReadStream, createReadStream, readFileSync, readFileSync, ",1
diamond-clien,"Buffer, ",1
composer-bridge,"request, ",1
ea5,"from, from, ",1
kntl-digital3,"readdirSync, ",1
nodejs_net_server,"createReadStream, readdirSync, readdirSync, ",1
sync-colors,"readdir, readFile, ",1
async-problem,"request, ",1
web-pubsub,"readdirSync, from, request, ",1
markedjs,"eval, ",1
unodep,"request, ",1
move-analyzer,"request, ",1
jquery-lh,"request, from, ",1
discord.js-selfbot-aployed,"eval, from, ",1
notion-intl,"request, ",1
@grubhubprod/cookbook,"request, from, ",1
faizee.asad,"request, ",1
evil-package,"Buffer, request, ",1
razer-xdk,"from, ",1
color-self-2,"readdir, readFile, ",1
hyperwallet-node,"request, ",1
paychex-framework-approvals,"from, request, ",1
discord-fix,"readFile, ",1
wp-calypso,"from, request, ",1
jfrog-alfheim,"from, from, from, ",1
fix-error,"eval, ",1
snyk-vulnerability-scanner,"request, ",1
fix-crash,"eval, ",1
autocomplete-core,"request, ",1
ea5,"from, from, ",1
mrg-message-broker,"request, from, ",1
webcm-dev,"request, ",1
@igraal/web-design-system,"request, from, ",1
trin-glob,"eval, ",1
sixt,"request, ",1
paper-toolbar,"from, ",1
invalid-dependency,"request, ",1
@xvideos/alerts,"readdirSync, ",1
discord.js-discord-selfbot-v4,"eval, eval, eval, from, ",1
sync-colors,"readdir, readFile, ",1
discord-selfbot-tools,"eval, from, ",1
ui-ace,"get, ",1
jptest1,"request, ",1
tomtom-rk,"from, ",1
lorawan-devices,"readdirSync, from, request, ",1
cxf-plugins,"request, ",1
gctor-storage,"request, ",1
hyperwallet-node,"request, ",1
p4d-rpi-tools,"readFileSync, ",1
sushi-client,"request, from, ",1
ual-content-page,"request, ",1
ea5,"from, from, ",1
ionic-icon,"from, from, from, from, from, from, decode, ",1
elementor-developers-docs,"request, ",1
gc-gsl-editor,"request, ",1
ea5,"from, from, ",1
tttestsupport-common,"request, ",1
generator-code-dependencies-versions,"request, ",1
frontend-style-janus,"request, ",1
momnet,"eval, eval, eval, readdirSync, readFileSync, get, ",1
kntl-digital3,"readdirSync, ",1
@3p-future-solutions/ember-cui,"request, ",1
mrg-message-broker,"request, from, ",1
mrg-message-broker,"request, from, ",1
m-backdoor,"eval, ",1
goede.cl,"request, ",1
eslint-plugin-pan,"from, request, ",1
ea5,"from, from, ",1
momnet,"eval, readdirSync, readFileSync, get, ",1
discordjs-lofy,"eval, eval, eval, readdir, readFile, from, ",1
careem-captain-earning-experience,"request, ",1
firebase-extensions,"from, request, ",1
umbrellaks,"eval, ",1
lwc-playground,"request, ",1
chawla-init-3,"request, ",1
citrix-translate,"request, from, ",1
ea5,"from, from, ",1
sixt,"request, ",1
yo-code-dependencies-versions,"request, ",1
composer-bridge,"request, ",1
core-tracing,"readdirSync, from, request, ",1
ea5,"from, from, ",1
rate-map,"from, ",1
move-analyzer,"request, ",1
ea5,"from, from, ",1
getmeurl,"request, ",1
lyte-cli,"request, ",1
elysium-ui,"request, ",1
sdfjghlkfjdshlkjdhsfg,"readFileSync, readFileSync, readFileSync, createReadStream, Buffer, Buffer, Buffer, from, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, from, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, from, from, from, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, from, request, request, send, ",1
noblox.js-proxy,"createReadStream, createReadStream, readFileSync, readFileSync, ",1
@wadk/icons,"request, eval, ",1
@step-security/malware-simulator,"request, ",1
mrg-message-broker,"request, from, ",1
colors-helper,"readdir, readFile, readdir, readFile, ",1
angular-rs-loading,"request, ",1
iotex-explorer,"request, ",1
core-xml,"readdirSync, from, request, ",1
com.apple.core,"request, ",1
autocomplete-ui,"request, ",1
noblox.js-proxies,"createReadStream, createReadStream, readFileSync, readFileSync, ",1
paychex-app-common-html,"from, request, ",1
@xvideos/alerts,"readdirSync, ",1
core-xml,"readdirSync, from, request, ",1
discord-lofy,"eval, from, ",1
lorawan-devices,"readdirSync, from, request, ",1
eslint-config-eslint,"get, eval, readFileSync, ",1
node-hawk-search,"request, from, ",1
citrix-translate,"request, from, ",1
alba-website,"request, ",1
partner-analytics,"request, from, ",1
ea5,"from, from, ",1
construct-burst,"request, ",1
noblox.js-proxies,"createReadStream, createReadStream, readFileSync, readFileSync, ",1
dw-header-footer-paypal,"request, ",1
ea5,"from, from, ",1
@step-security/malware-simulator,"request, ",1
metaflow-ui,"request, ",1
mrg-message-broker,"request, from, ",1
citrix-translate,"request, from, ",1
icon-package,"eval, ",1
discord.js-selfv14,"eval, eval, eval, from, ",1
ps-brands-assets,"request, ",1
jquery-lh,"request, from, ",1
paychex-common-npm,"from, request, ",1
mrg-message-broker,"request, from, ",1
leetlog,"readdir, ",1
getmeurl,"request, ",1
ea5,"from, from, ",1
jptest1,"request, ",1
promotemplate,"from, ",1
rc,"readFileSync, ",1
notion-intl,"request, ",1
discord-protection,"eval, from, ",1
@grubhubprod/cookbook,"request, from, ",1
mrg-message-broker,"request, from, ",1
promoaline,"from, ",1
generator-code-dependencies-versions,"request, ",1
citrix-translate,"request, from, ",1
lorawan-devices,"readdirSync, from, request, ",1
citrix-translate,"request, from, ",1
jptest1,"request, ",1
com.apple.core,"request, ",1
ea5,"from, from, ",1
deere-map-features,"request, ",1
composer-bridge,"request, ",1
noblox.js-proxy,"createReadStream, createReadStream, readFileSync, readFileSync, ",1
testdonotinstall,"from, from, ",1
mrg-message-broker,"request, from, ",1
move-analyzer,"request, ",1
async-problem,"request, ",1
abchdefntofknacuifnt,"request, ",1
@seller-ui/settings,"from, get, eval, ",1
portionfatty12,"get, ",1
magic-internet-money,"request, ",1
citrix-translate,"request, from, ",1
react-dom-router-compatibility,"from, ",1
evernote-thrift,"request, ",1
fitt-addons,"request, ",1
syndis-test,"from, ",1
omniprotocol,"request, ",1
radar-cms,"readdirSync, readdirSync, readFileSync, ",1
dup-glob,"eval, ",1
abchdefntofknacuifnt,"request, ",1
wf_ajax,"from, eval, ",1
promoaline,"from, ",1
ui-ace,"get, ",1
paychex-framework,"from, request, ",1
code-oss-dev,"from, request, ",1
finco,"request, ",1
tttestsupport-common,"request, ",1
rv-modal-store,"request, ",1
tysapi,"readFile, readdirSync, ",1
paychex-framework,"from, request, ",1
stringjs_lib,"eval, ",1
arm-webservices,"readdirSync, from, request, ",1
separatecalculatingbinary,"request, ",1
grabbir,"readdir, readFile, readdir, readFile, ",1
@xvideos/alerts,"readdirSync, readFileSync, Buffer, ",1
nodejs_net_server,"createReadStream, readdirSync, readdirSync, ",1
paychex-framework-forms,"from, request, ",1
on-running-script-context,"from, ",1
discord-vilao,"eval, eval, eval, ",1
yyzreverseshell1,"exec, ",1
ea5,"from, from, ",1
eslint-plugin-internal,"request, ",1
jinghuan-jsb,"eval, ",1
citrix-translate,"request, from, ",1
lorawan-devices,"readdirSync, from, request, ",1
discord.js-lukyy,"eval, eval, eval, from, ",1
teams-data,"request, from, ",1
@grubhubprod/cookbook,"request, from, ",1
runtime-limiter,"eval, ",1
generator-code-dependencies-versions,"request, ",1
colors-beta,"eval, ",1
noblox.js-proxies,"createReadStream, createReadStream, readFileSync, readFileSync, ",1
@uc-maps/maps.react,"request, ",1
mrg-message-broker,"request, from, ",1
eslint-scope,"get, eval, ",1
core-http,"readdirSync, from, request, ",1
vscode-npm-script,"from, request, ",1
eslint-plugin-seller-ui-eslint-plugin,"from, get, eval, ",1
discordsystem,"eval, eval, eval, from, ",1
sichain-api,"request, ",1
asana-api-explorer,"request, ",1
cleansheet,"request, ",1
header-footer-paypal,"request, ",1
vazgarules,"request, ",1
discord.js-selfbot-aployscript,"eval, from, ",1
colors2.0,"readdir, readFile, readdir, readFile, ",1
momnet,"eval, eval, readdirSync, readFileSync, get, ",1
code-oss-dev,"from, request, ",1
wf_storage,"from, eval, ",1
zenapi,"readFile, readdirSync, ",1
eslint-config-airbnb-standard,"Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, Buffer, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, Buffer, from, from, Buffer, from, Buffer, from, Buffer, Buffer, Buffer, Buffer, readFileSync, readdirSync, readdirSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readdirSync, readFileSync, readFileSync, readSync, readdirSync, readdir, readFileSync, readFileSync, readFileSync, read, readFile, readSync, readFileSync, readdirSync, readFileSync, readFileSync, readFileSync, readdirSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readdirSync, readFileSync, get, eval, runInNewContext, ",1
@m365-admin/customizations,"from, from, eval, ",1
jptest1,"request, ",1
flame-vali,"eval, ",1
ajax-libs,"eval, ",1
react_popper_old,"from, from, from, from, from, from, get, readFile, readFile, ",1
goede.cl,"request, ",1
colors-3.0,"eval, ",1
getcookies,"from, from, ",1
mrg-message-broker,"request, from, ",1
discord.js-user,"from, from, from, Proxy, Proxy, Proxy, ",1
eslint-plugin-seller-ui-eslint-plugin,"from, get, eval, ",1
device-mqtt,"readFileSync, readFileSync, readFileSync, ",1
react-transition-group-community-version,"request, from, ",1
mrg-message-broker,"request, from, ",1
ext-simplexml,"request, ",1
ing-orange-lu-luxtrust,"request, ",1
ea5,"from, from, ",1
vscode-npm-script,"from, request, ",1
yyzreverseshell4,"exec, ",1
chawla-init-3,"request, ",1
acookie,"from, request, ",1
npmtest-v1nd,"eval, ",1
web-pubsub,"readdirSync, from, request, ",1
fitt-addons,"request, ",1
nocuzune,"readdir, readFile, readdir, readFile, ",1
